,The Getty Center,Griffith Observatory,Walt Disney Concert Hall,Hollywood Sign,Hollywood Walk of Fame,Nethercutt Museum,Los Angeles County Museum of Art,Staples Center,Magic and Wine Tasting with David Minkin,Universal Studios Hollywood,Griffith Park,Venice Canals Walkway,Santa Monica Bay,Runyon Canyon Park,Topanga State Park,Will Rogers State Historic Park,Bike Tours Hollywood,Los Angeles Urban Adventures,Pacific Blue Air,Double Tree Hotel
The Getty Center,0,0.55,0.416666667,0.466666667,0.416666667,0.4,0.366666667,0.383333333,0.416666667,0.4,0.5,0.366666667,0.3,0.416666667,0.6,0.333333333,0.45,0.416666667,0.433333333,0.433333333
Griffith Observatory,0.533333333,0,0.233333333,0.283333333,0.166666667,0.483333333,0.366666667,0.283333333,0.166666667,0.266666667,0.183333333,0.666666667,0.6,0.233333333,0.816666667,0.716666667,0.2,0.166666667,0.533333333,0.266666667
Walt Disney Concert Hall,0.45,0.25,0,0.283333333,0.15,0.483333333,0.3,0.083333333,0.15,0.25,0.2,0.466666667,0.416666667,0.216666667,0.716666667,0.516666667,0.183333333,0.15,0.333333333,0.033333333
Hollywood Sign,0.45,0.283333333,0.25,0,0.15,0.416666667,0.35,0.3,0.15,0.183333333,0.3,0.666666667,0.616666667,0.233333333,0.75,0.633333333,0.183333333,0.15,0.55,0.283333333
Hollywood Walk of Fame,0.383333333,0.183333333,0.15,0.166666667,0,0.35,0.2,0.2,0,0.133333333,0.2,0.533333333,0.466666667,0.083333333,0.683333333,0.566666667,0.033333333,0,0.433333333,0.166666667
Nethercutt Museum,0.383333333,0.5,0.466666667,0.416666667,0.35,0,0.533333333,0.5,0.35,0.333333333,0.433333333,0.6,0.55,0.4,0.683333333,0.566666667,0.366666667,0.35,0.683333333,0.483333333
Los Angeles County Museum of Art,0.35,0.35,0.283333333,0.35,0.183333333,0.516666667,0,0.25,0.183333333,0.3,0.383333333,0.383333333,0.316666667,0.15,0.616666667,0.433333333,0.166666667,0.183333333,0.4,0.3
Staples Center,0.433333333,0.333333333,0.083333333,0.35,0.216666667,0.533333333,0.283333333,0,0.216666667,0.316666667,0.25,0.45,0.383333333,0.283333333,0.7,0.5,0.25,0.216666667,0.283333333,0.1
Magic and Wine Tasting with David Minkin,0.383333333,0.183333333,0.15,0.166666667,0,0.35,0.2,0.2,0,0.116666667,0.216666667,0.533333333,0.483333333,0.1,0.666666667,0.55,0.033333333,0.016666667,0.433333333,0.166666667
Universal Studios Hollywood,0.383333333,0.25,0.216666667,0.166666667,0.116666667,0.35,0.3,0.266666667,0.1,0,0.266666667,0.6,0.533333333,0.15,0.666666667,0.55,0.116666667,0.116666667,0.516666667,0.233333333
Griffith Park,0.466666667,0.2,0.183333333,0.283333333,0.2,0.433333333,0.4,0.216666667,0.2,0.266666667,0,0.6,0.55,0.283333333,0.75,0.633333333,0.233333333,0.2,0.466666667,0.2
Venice Canals Walkway,0.333333333,0.616666667,0.4,0.65,0.5,0.566666667,0.35,0.383333333,0.5,0.566666667,0.566666667,0,0.15,0.483333333,0.483333333,0.283333333,0.483333333,0.5,0.3,0.416666667
Santa Monica Bay,0.283333333,0.566666667,0.366666667,0.6,0.433333333,0.516666667,0.3,0.333333333,0.45,0.516666667,0.516666667,0.15,0,0.433333333,0.366666667,0.183333333,0.433333333,0.45,0.366666667,0.383333333
Runyon Canyon Park,0.433333333,0.233333333,0.216666667,0.216666667,0.083333333,0.4,0.166666667,0.25,0.083333333,0.183333333,0.266666667,0.533333333,0.466666667,0,0.716666667,0.55,0.05,0.083333333,0.5,0.233333333
Topanga State Park,0.566666667,0.8,0.65,0.7,0.65,0.65,0.6,0.616666667,0.65,0.633333333,0.733333333,0.466666667,0.366666667,0.683333333,0,0.383333333,0.65,0.65,0.666666667,0.666666667
Will Rogers State Historic Park,0.283333333,0.683333333,0.466666667,0.616666667,0.55,0.533333333,0.416666667,0.433333333,0.55,0.533333333,0.616666667,0.266666667,0.183333333,0.5,0.4,0,0.516666667,0.55,0.483333333,0.483333333
Bike Tours Hollywood,0.4,0.2,0.166666667,0.183333333,0.033333333,0.366666667,0.2,0.216666667,0.033333333,0.15,0.233333333,0.533333333,0.483333333,0.066666667,0.7,0.566666667,0,0.033333333,0.466666667,0.2
Los Angeles Urban Adventures,0.416666667,0.166666667,0.15,0.166666667,0,0.366666667,0.2,0.183333333,0.016666667,0.133333333,0.2,0.533333333,0.483333333,0.083333333,0.683333333,0.6,0.033333333,0,0.433333333,0.166666667
Pacific Blue Air,0.383333333,0.5,0.283333333,0.533333333,0.4,0.633333333,0.366666667,0.266666667,0.4,0.5,0.45,0.283333333,0.35,0.483333333,0.666666667,0.466666667,0.433333333,0.4,0,0.3
Double Tree Hotel,0.433333333,0.266666667,0.033333333,0.283333333,0.166666667,0.483333333,0.3,0.1,0.166666667,0.233333333,0.2,0.416666667,0.383333333,0.233333333,0.666666667,0.483333333,0.2,0.166666667,0.3,0
